,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
102,0.0,Mon Jan 08 14:29:20 +0000 2018,1.0,0.0,0.0,RT @AmazingRaceCBS: Which teams are zipping through the first leg of the #AmazingRace? https://t.co/8isAwPyrLY,3,CBS
103,0.0,Mon Jan 08 00:29:51 +0000 2018,1.0,0.0,0.0,RT @MadamSecretary: Is VP Hurst going to work with or against Elizabeth? Stream a new #MadamSecretary live with CBS All Access: https://t.c…,4,CBS
104,0.0,Sat Jan 06 20:05:17 +0000 2018,1.0,0.0,0.0,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18",5,CBS
105,0.8271,Sat Jan 06 19:04:08 +0000 2018,0.686,0.0,0.314,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…,6,CBS
106,-0.7717,Sat Jan 06 19:03:38 +0000 2018,0.774,0.226,0.0,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…,7,CBS
107,0.0,Sat Jan 06 00:37:55 +0000 2018,1.0,0.0,0.0,"RT @startrekcbs: Star Trek has touched the lives of generations of fans, including the cast and writers of #StarTrekDiscovery. What's your…",8,CBS
108,0.0,Sat Jan 06 00:30:53 +0000 2018,1.0,0.0,0.0,#StrangeAngel has found its leading man! Jack Reynor will star as famed rocket engineer Jack Parsons in the upcomin… https://t.co/sHkSKABGfd,9,CBS
109,0.0,Fri Jan 05 18:30:42 +0000 2018,1.0,0.0,0.0,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ",10,CBS
110,0.0,Fri Jan 05 16:05:58 +0000 2018,1.0,0.0,0.0,"RT @CBSTweet: #CBSRatingsNews: CBS Sweeps Fourth Quarter Ratings in Daytime, Primetime and Late Night for the First Time Since 2009 https:/…",11,CBS
111,0.1867,Thu Jan 04 23:13:02 +0000 2018,0.89,0.0,0.11,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1",12,CBS
112,-0.296,Thu Jan 04 14:43:09 +0000 2018,0.879,0.121,0.0,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD",13,CBS
113,0.5423,Wed Jan 03 20:33:09 +0000 2018,0.821,0.0,0.179,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…",14,CBS
114,-0.5267,Wed Jan 03 19:51:15 +0000 2018,0.833,0.167,0.0,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS,15,CBS
115,0.5423,Wed Jan 03 15:00:05 +0000 2018,0.857,0.0,0.143,Do you know all the nominees for Artist Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/UQa8Mu9PUV,16,CBS
116,0.0,Wed Jan 03 12:00:01 +0000 2018,1.0,0.0,0.0,"The new year of new episodes continues tonight with all-new episodes of #AmazingRace, #SEALTeam and #CriminalMinds… https://t.co/bwhNhQgsFC",17,CBS
117,-0.7692,Wed Jan 03 00:47:26 +0000 2018,0.733,0.267,0.0,"RT @BullCBS: Tonight, can #Bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? Tune in at 9/8c or st…",18,CBS
118,0.8516,Tue Jan 02 22:41:51 +0000 2018,0.66,0.0,0.34,It's your last chance to choose the pro football player with the best off-the-field talent! Vote now to decide who… https://t.co/6DjwqU0MB9,19,CBS
119,0.0,Tue Jan 02 08:00:03 +0000 2018,1.0,0.0,0.0,"New year, new episodes -- all week long! It kicks off with an all-new #NCIS, #Bull and #NCISNOLA tonight starting a… https://t.co/bcmAaUQJtf",20,CBS
120,0.0,Mon Jan 08 18:07:57 +0000 2018,1.0,0.0,0.0,RT @startrekcbs: #StarTrekDiscovery is back! Episode 10 is now streaming on CBS All Access: https://t.co/xPeb97Rs8J https://t.co/Uvgab7nGgS,21,CBS
121,0.0,Mon Jan 08 14:34:48 +0000 2018,1.0,0.0,0.0,"New year, new case. Watch the latest episode of #NCISLA now: https://t.co/1rAsX4EsiB https://t.co/QzRZcORK9r",22,CBS
122,0.0,Mon Jan 08 14:29:20 +0000 2018,1.0,0.0,0.0,RT @AmazingRaceCBS: Which teams are zipping through the first leg of the #AmazingRace? https://t.co/8isAwPyrLY,23,CBS
123,0.0,Mon Jan 08 00:29:51 +0000 2018,1.0,0.0,0.0,RT @MadamSecretary: Is VP Hurst going to work with or against Elizabeth? Stream a new #MadamSecretary live with CBS All Access: https://t.c…,24,CBS
124,0.0,Sat Jan 06 20:05:17 +0000 2018,1.0,0.0,0.0,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18",25,CBS
125,0.8271,Sat Jan 06 19:04:08 +0000 2018,0.686,0.0,0.314,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…,26,CBS
126,-0.7717,Sat Jan 06 19:03:38 +0000 2018,0.774,0.226,0.0,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…,27,CBS
127,0.0,Sat Jan 06 00:37:55 +0000 2018,1.0,0.0,0.0,"RT @startrekcbs: Star Trek has touched the lives of generations of fans, including the cast and writers of #StarTrekDiscovery. What's your…",28,CBS
128,0.0,Sat Jan 06 00:30:53 +0000 2018,1.0,0.0,0.0,#StrangeAngel has found its leading man! Jack Reynor will star as famed rocket engineer Jack Parsons in the upcomin… https://t.co/sHkSKABGfd,29,CBS
129,0.0,Fri Jan 05 18:30:42 +0000 2018,1.0,0.0,0.0,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ",30,CBS
